"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"The Andhra Sugars Limited","135535390","63954729","    47.19","71580661","1433120","     2.24","     1.06","13.292","12-Jun-2024 11:30:19","10637040","98016870","10.85","98.659","12-Jun-2024 11:30:19"
"The Anup Engineering Limited","9950483","4253215","    42.74","5697268","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","777501","19711283","3.94","245.578","12-Jun-2024 11:30:41"
"The Byke Hospitality Ltd","46897800","20088282","    42.83","26809518","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","1300678","46233388","2.81","7.063","12-Jun-2024 11:30:39"
"The Federal Bank  Limited","2435351938","24656664","     1.01","2410695274","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","101300720","2431343155","4.17","1521.537","12-Jun-2024 11:30:10"
"The Great Eastern Shipping Company Limited","142767161","42936248","    30.07","99830913","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","4011250","141256464","2.84","401.626","12-Jun-2024 11:30:30"
"The Hi-Tech Gears Limited","18778186","10558602","    56.23","8219584","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","216191","18728022","1.15","16.635","12-Jun-2024 11:30:20"
"The India Cements Limited","309897201","88082646","    28.42","221814555","40657217","    46.16","    13.12","863.559","12-Jun-2024 11:30:09","84593166","309169739","27.36","1796.759","12-Jun-2024 11:30:09"
"The Indian Hotels Company Limited","1423432227","542557742","    38.12","880874485","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","19333196","1416411216","1.36","1142.882","12-Jun-2024 11:30:17"
"The Jammu & Kashmir Bank Limited","1101182463","654098280","    59.40","447084183","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","32543537","1094547777","2.97","436.734","12-Jun-2024 11:30:21"
"The Karnataka Bank Limited","377249958","0","     0.00","377249958","0",,"     0.00","0","12-Jun-2024 11:30:23","46217891","367211170","12.59","1040.365","12-Jun-2024 11:30:23"
"The Motor & General Finance Limited","38727190","26943492","    69.57","11783698","0","     0.00","     0.00",,"12-Jun-2024 11:30:09","45380","36993616","0.12",,"12-Jun-2024 11:30:09"
"The Orissa Minerals Development Company Limited","6000000","3000890","    50.01","2999110","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","427098","5812160","7.35","252.549","12-Jun-2024 11:30:36"
"The Phoenix Mills Limited","178697222","84484487","    47.28","94212735","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","487279","178595230","0.27","135.6","12-Jun-2024 11:30:32"
"The Ramco Cements Limited","236292380","99931374","    42.29","136361006","22274989","    22.29","     9.43","1805.499","12-Jun-2024 11:30:09","5337361","226604422","2.36","432.62","12-Jun-2024 11:30:09"
"The Ruby Mills Limited","33440000","25047640","    74.90","8392360","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","590862","33357952","1.77","10.869","12-Jun-2024 11:30:14"
"The Sandesh Limited","7569421","5663017","    74.81","1906404","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","76398","7528671","1.01","8.962","12-Jun-2024 11:30:11"
"The South Indian Bank Limited","2615926272","0","     0.00","2615926272","0",,"     0.00","0","12-Jun-2024 11:30:22","248814786","2563910767","9.7","678.02","12-Jun-2024 11:30:22"
"The State Trading Corporation of India Limited","60000000","54000000","    90.00","6000000","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","1196980","59992630","2","14.849","12-Jun-2024 11:30:22"
"The Ugar Sugar Works Limited","112500000","50008259","    44.45","62491741","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","4930485","97856481","5.04","32.443","12-Jun-2024 11:30:36"
"The United Nilgiri Tea Estates Company Limited","4996566","2487982","    49.79","2508584","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","199377","4471266","4.46","6.301","12-Jun-2024 11:30:35"
"The Western India Plywoods Limited","8487340","3461791","    40.79","5025549","349760","    10.10","     4.12",,"12-Jun-2024 11:30:40","55537","5747285","0.97",,"12-Jun-2024 11:30:40"
"Thejo Engineering Limited","10764274","5815320","    54.02","4948954","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","515296","10787019","4.78","126.013","12-Jun-2024 11:30:38"
"Themis Medicare Limited","92040120","61803990","    67.15","30236130","1500000","     2.43","     1.63","32.79","12-Jun-2024 11:30:31","3499439","90893800","3.85","76.498","12-Jun-2024 11:30:31"
"Thermax Limited","119156300","80390857","    67.47","38765443","0","     0.00","     0.00","0","12-Jun-2024 11:30:04","254524","119019670","0.21","106.705","12-Jun-2024 11:30:04"
"Thirumalai Chemicals Limited","102388120","42949539","    41.95","59438581","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","7008909","101443457","6.91","163.973","12-Jun-2024 11:30:11"
"Thomas Cook  (India)  Limited","470380562","305345531","    64.91","165035031","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","17921064","469193337","3.82","297.49","12-Jun-2024 11:30:12"
"Thomas Scott (India) Limited","9795219","5889356","    60.12","3905863","0","     0.00","     0.00",,"12-Jun-2024 11:30:38","24529","9747251","0.25",,"12-Jun-2024 11:30:38"
"Thyrocare Technologies Limited","52952676","37656456","    71.11","15296220","37656092","   100.00","    71.11","2221.521","12-Jun-2024 11:30:40","38363442","52952676","72.45","2263.251","12-Jun-2024 11:30:40"
"Tide Water Oil Company (India) Limited","17424000","11279354","    64.73","6144646","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","830768","17387063","4.78","116.1","12-Jun-2024 11:30:30"
"Tijaria Polypipes Limited","28626579","10066198","    35.16","18560381","0","     0.00","     0.00",,"12-Jun-2024 11:30:37","343516","28626579","1.2",,"12-Jun-2024 11:30:37"
"Tilaknagar Industries Limited","192730353","77458460","    40.19","115271893","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","10545781","192045699","5.49","221.989","12-Jun-2024 11:30:36"
"Time Technoplast Limited","226929066","117013304","    51.56","109915762","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","9964720","226926456","4.39","248.769","12-Jun-2024 11:30:32"
"Times Guaranty Limited","8993149","6737399","    74.92","2255750","0","     0.00","     0.00",,"12-Jun-2024 11:30:24","40850","8089857","0.5",,"12-Jun-2024 11:30:24"
"Timken India Limited","75218734","43399988","    57.70","31818746","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","434842","74410576","0.58","124.343","12-Jun-2024 11:30:17"
