"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"CYIENT","Cyient Limited","7(2)","Karthikeyan Natarajan","-","Equity Shares","112870","0.1",,"15000","28810000","Sell","Equity Shares","97870","0.09","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 20:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165511_1155784_10062024080755_WEB.xml"
"CYIENT","Cyient Limited","7(2)","Andrew Neilson Smith","-","Equity Shares","4254","0",,"4254","7104890","Sell","Equity Shares","Nil","0","04-Jun-2024","04-Jun-2024","06-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 20:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165511_1155784_10062024080755_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","P KALPANA REDDY","Promoters","Equity Shares","974000","3.17",,"100000","0","Sell","Equity Shares","874000","2.84","08-Jun-2024","08-Jun-2024","08-Jun-2024","Gift","-","-","0","0","0","0","NA","-","10-Jun-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165507_1155770_10062024074631_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","LEELAVATHI PARVATHA REDDY","Promoters","Equity Shares","921712","3",,"100000","0","Buy","Equity Shares","1021712","3.32","08-Jun-2024","08-Jun-2024","08-Jun-2024","Gift","-","-","0","0","0","0","NA","-","10-Jun-2024 19:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165507_1155770_10062024074631_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","MADHAV DOSHI","Director","Equity Shares","958517","10.71",,"2070","88915","Buy","Equity Shares","960587","10.73","05-Jun-2024","06-Jun-2024","07-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 19:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165505_1155767_10062024074041_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Garima Misra","Employees/Designated Employees","Equity Shares","798065","1.93",,"100000","68803978","Sell","Equity Shares","698065","1.69","06-Jun-2024","06-Jun-2024","06-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","10-Jun-2024 19:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165503_1155762_10062024073043_WEB.xml"
"LANDMARK","Landmark Cars Limited","7(2)","Harshal Desai","Employees/Designated Employees","Equity Shares","25254","0.06",,"1608","1063625","Sell","Equity Shares","23646","0.06","04-Jun-2024","04-Jun-2024","06-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 19:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165503_1155762_10062024073043_WEB.xml"
"CHOICEIN","Choice International Limited","7(2)","Rupang Properties Private Limited","Promoter Group","Warrants","Nil","0",,"3121000","936300000","Buy","Warrants","3121000","1.4","06-Jun-2024","06-Jun-2024","10-Jun-2024","Preferential Offer","-","-","0","0","0","0","NA","-","10-Jun-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165500_1155754_10062024072004_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mr. Rasesh Joshi","Employees/Designated Employees","Equity Shares","3735","0",,"1735","4760840","Sell","Equity Shares","2000","0","07-Jun-2024","07-Jun-2024","09-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165497_1155751_10062024071836_WEB.xml"
"ALICON","Alicon Castalloy Limited","7(2)","Rajeev Sikand","Key Managerial Personnel","Equity Shares","558638","3.46",,"100000","500000","Buy","Equity Shares","658638","4.08","31-May-2024","31-May-2024","07-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 19:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165490_1155727_10062024070108_WEB.xml"
"JAYAGROGN","Jayant Agro Organics Limited","7(2)","MALTI MULRAJ UDESHI","Promoter Group","Equity Shares","80000","0.27",,"45448","0","Buy","Equity Shares","125448","0.42","06-Jun-2024","06-Jun-2024","07-Jun-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","10-Jun-2024 19:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165489_1155723_10062024070008_WEB.xml"
"JAYAGROGN","Jayant Agro Organics Limited","7(2)","MULRAJ GOKULDAS UDESHI","Promoters","Equity Shares","113448","0.38",,"45448","0","Sell","Equity Shares","68000","0.23","06-Jun-2024","06-Jun-2024","07-Jun-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","10-Jun-2024 19:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165489_1155723_10062024070008_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","SALIM SULEMAN YAHOO","Key Managerial Personnel","Equity Shares","2400","0",,"250","446738","Buy","Equity Shares","2650","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE","-","10-Jun-2024 18:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165485_1155712_10062024064809_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","SALIM SULEMAN YAHOO","Key Managerial Personnel","Equity Shares","2650","0",,"250","446980","Buy","Equity Shares","2900","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165485_1155712_10062024064809_WEB.xml"
"WIPRO","Wipro Limited","7(3)","Thierry Delaporte","-","ADR/GDR/FCCB","989130","0.02",,"519800","225025069","Sell","ADR/GDR/FCCB","469330","0.01","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165484_1155707_10062024064641_WEB.xml"
"WIPRO","Wipro Limited","7(3)","Thierry Delaporte","-","ADR/GDR/FCCB","Nil","0",,"989130","452389288","Buy","ADR/GDR/FCCB","989130","0.02","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165484_1155707_10062024064641_WEB.xml"
"HFCL","HFCL Limited","7(2)","HFCL Employees Trust","Other","Equity Shares","918800","0.06",,"24000","495600","Sell","Equity Shares","894800","0.06","07-Jun-2024","07-Jun-2024","10-Jun-2020","Off Market","-","-","0","0","0","0","NA","-","10-Jun-2024 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165483_1155704_10062024064426_WEB.xml"
"AFFLE","Affle (India) Limited","7(2)","Affle (India) Limited Employees Welfare Trust","Other","Equity Shares","82763","0.06",,"1340","1632886","Sell","Equity Shares","81423","0.06","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165479_1155681_10062024062448_WEB.xml"
"FSL","Firstsource Solutions Limited","7(2)","Firstsource Employee Benefit Trust","Other","Equity Shares","9170634","1.32",,"142946","28017416","Buy","Equity Shares","9313580","1.34","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165477_1155676_10062024062328_WEB.xml"
"CCL","CCL Products (India) Limited","7(2)","Praveen Jaipuriar","Key Managerial Personnel","Equity Shares","116221","0.09",,"2000","1213276","Sell","Equity Shares","114221","0.09","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165475_1155666_10062024061745_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c","Other","Equity Shares","8603764","0.35",,"3978","3627482","Sell","Equity Shares","8599786","0.35","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","8599786","0.35",,"271","247121","Sell","Equity Shares","8599515","0.35","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","8599515","0.35",,"157","143166","Sell","Equity Shares","8599358","0.35","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","8603851","0.35",,"87","76836","Sell","Equity Shares","8603764","0.35","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165474_1155663_10062024061650_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","BALAJI KUMAR","-","Equity Shares","20000","0",,"20000","4941400","Buy","Equity Shares","40000","0","06-Jun-2024","06-Jun-2024","07-Jun-2024","ESOP","-","-","0","0","0","0","NSE","-","10-Jun-2024 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165471_1155652_10062024055846_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Puneet Verma","Employees/Designated Employees","Equity Shares","1912","0",,"500","2993492","Sell","Equity Shares","1412","0","06-Jun-2024","06-Jun-2024","08-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165470_1155650_10062024055823_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Pallavi Belagavi","Employees/Designated Employees","Equity Shares","3039","0",,"400","2422029","Sell","Equity Shares","2639","0","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165470_1155650_10062024055823_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","717779","1.46",,"3004","6949353","Buy","Equity Shares","720783","1.47","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165467_1155642_10062024055507_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Kailash Chand Gupta","-","Equity Shares","Nil","0",,"2601","1398817","Buy","Equity Shares","2601","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 17:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Narendra Mantri","Key Managerial Personnel","Equity Shares","Nil","0",,"15073","8106259","Buy","Equity Shares","15073","0","06-Jun-2024","06-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 17:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Sanjiv Dheer","-","Equity Shares","86","0",,"13996","7695000","Buy","Equity Shares","14082","0","04-Jun-2024","04-Jun-2024","06-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 17:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Samruddhi Employees Trust","-","Equity Shares","1539610","0.47",,"17674","1261923","Sell","Equity Shares","1521936","0.47","06-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 17:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Samruddhi Employees Trust","-","Equity Shares","1553606","0.48",,"13996","999314","Sell","Equity Shares","1539610","0.47","04-Jun-2024","04-Jun-2024","06-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","10-Jun-2024 17:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165464_1155590_10062024050729_WEB.xml"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","7(2)","Krishak Bharati Cooperative Limited (KRIBHCO)","Promoters","Equity Shares","9662726","1.62",,"1000000","11300000","Sell","Equity Shares","8662726","1.45","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165462_1155571_10062024044148_WEB.xml"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","7(2)","Krishak Bharati Cooperative Limited (KRIBHCO)","Promoters","Equity Shares","9712726","1.62",,"50000","515000","Sell","Equity Shares","9662726","1.62","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165461_1155569_10062024044043_WEB.xml"
"SHALPAINTS","Shalimar Paints Limited","7(2)","Veera Gupta","Immediate relative","Equity Shares","2274658","2.72",,"72900","11167837","Sell","Equity Shares","2201758","2.63","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165456_1155553_10062024042240_WEB.xml"
"PDMJEPAPER","Pudumjee Paper Products Limited","7(2)","Gautam Nandkishore Jajodia","Other","Equity Shares","125327","0.13",,"50000","4757877","Sell","Equity Shares","75327","0.08","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165454_1155530_10062024040730_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","Ashish Garg","Promoter Group","Equity Shares","307300","0.97",,"824337","0","Buy","Equity Shares","1131637","3.56","07-Jun-2024","07-Jun-2024","08-Jun-2024","Others","-","-","0","0","0","0","NA","-","10-Jun-2024 16:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165452_1155527_10062024040412_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Malay Rashmikant Parekh","Promoter Group","Equity Shares","408686","0.08",,"6000","19261137","Sell","Equity Shares","402686","0.08","05-Jun-2024","05-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165451_1155523_10062024040329_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Kamalini Rashmikant Parekh","Promoter Group","Equity Shares","1093455","0.21",,"6000","19260312","Sell","Equity Shares","1087455","0.21","05-Jun-2024","05-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165451_1155523_10062024040329_WEB.xml"
"SHUBHLAXMI","Shubhlaxmi Jewel Art Limited","7(2)","SOHAM NARENDRASINH CHAUHAN","Promoters","Equity Shares","1069000","12.14",,"55000","2306090","Sell","Equity Shares","1014000","11.52","07-Jun-2024","07-Jun-2024","09-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165449_1155515_10062024035653_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Parmeshwar Bang","Employees/Designated Employees","Equity Shares","9960","0.01",,"950","1708829","Pledge Revoke","Equity Shares","9960","0.01","07-Jun-2024","07-Jun-2024","08-Jun-2024","Revokation of Pledge","-","-","0","0","0","0","-","-","10-Jun-2024 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165447_1155502_10062024034716_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Parmeshwar Bang","Employees/Designated Employees","Equity Shares","9960","0.01",,"950","1708829","Sell","Equity Shares","9010","0.01","07-Jun-2024","07-Jun-2024","08-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165447_1155502_10062024034716_WEB.xml"
"MAXIND","Max India Limited","7(2)","Ajay Agrawal","Other","Equity Shares","81500","0.19",,"24500","6650280","Sell","Equity Shares","57000","0.13","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165444_1155479_10062024032217_WEB.xml"
"MAXIND","Max India Limited","7(2)","Sandeep Pathak","Key Managerial Personnel","Equity Shares","4800","0.01",,"4700","1270407","Sell","Equity Shares","100","0","29-May-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165444_1155479_10062024032217_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","NILADRI MUKHERJEE","-","Equity Shares","1502","0",,"500","1017200","Sell","Equity Shares","1002","0","27-May-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165442_1155471_10062024030301_WEB.xml"
"SAFARI","Safari Industries (India) Limited","7(2)","NAZUK KESHAN","Employees/Designated Employees","Equity Shares","9864","0",,"1500","3009915","Sell","Equity Shares","8364","0","07-Jun-2024","07-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 15:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165442_1155471_10062024030301_WEB.xml"
"APOLLOPIPE","Apollo Pipes Limited","7(2)","Dhruv Gupta","Promoter Group","Equity Shares","Nil","0",,"500000","0","Buy","Equity Shares","500000","1.21","06-Jun-2024","06-Jun-2024","10-Jun-2024","Gift","-","-","0","0","0","0","NA","-","10-Jun-2024 14:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165440_1155460_10062024024957_WEB.xml"
"SOMATEX","Soma Textiles & Industries Limited","7(2)","Prasann Arvindkumar Somany","Immediate relative","Equity Shares","Nil","0",,"731900","24261387","Buy","Equity Shares","731900","2.22","07-Jun-2024","07-Jun-2024","09-Jun-2024","Market Purchase","-","-","0","0","0","0","NA","-","10-Jun-2024 14:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165439_1155457_10062024024701_WEB.xml"
"INFOBEAN","InfoBeans Techno. Ltd.","7(2)","Mitesh Bohra","Promoters","Equity Shares","5012650","20.63",,"1700000","728110000","Sell","Equity Shares","3312650","13.63","06-Jun-2024","06-Jun-2024","07-Jun-2024","Gift","-","-","0","0","0","0","NA","-","10-Jun-2024 14:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165436_1155453_10062024023312_WEB.xml"
"ORIENTELEC","Orient Electric Limited","7(3)","SANJEEV KUMAR JAIN","-","Equity Shares","9985","0",,"5000","1175000","Sell","Equity Shares","4985","0","05-Jun-2024","05-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 14:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165434_1155447_10062024021731_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","714608","1.46",,"3171","6948475","Buy","Equity Shares","717779","1.46","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165432_1155442_10062024015530_WEB.xml"
"ALLSEC","Allsec Technologies Limited","7(2)","Naozer Dalal","Key Managerial Personnel","Equity Shares","1440","0.01",,"1010","985485","Buy","Equity Shares","2450","0.02","04-Jun-2024","04-Jun-2024","06-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 13:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165429_1155437_10062024014235_WEB.xml"
"INFOBEAN","InfoBeans Techno. Ltd.","7(2)","Priyansh Jain","Promoter Group","Equity Shares","Nil","0",,"1700000","728110000","Buy","Equity Shares","1700000","6.99","06-Jun-2024","06-Jun-2024","07-Jun-2024","Gift","-","-","0","0","0","0","NA","-","10-Jun-2024 13:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165426_1155429_10062024012251_WEB.xml"
